Date,DayOfWeek,DEMAND-MISO,DEMAND-PJM,WIND-MISO,WIND-PJM,NATGAS-TRANSCO-Z6,NATGAS-TETCO,NATGAS-CHICAGO,LMP-WEST-PJM,LMP-WESTERN-PJM,TEMPERATURE-WESTERN-PJM,TEMPERATURE-SOUTHERN-PJM,TEMP-COMED-PJM,LMP-MINNESOTA-MISO,LMP-ILLINOIS-PJM,LMP-MICHIGAN-PJM,LMP-COMED-PJM,LMP-AEP-PJM,IMPORT-PJM-MISO
11/1/2021,Monday,68805.83333,79071.75,7122.875,2525.767917,4.667916667,4.637083333,5.154166667,67.4925,65.91083333,46.95833333,54.70833333,40.20833333,58.07958333,79.60166667,63.62375,57.16583333,64.05375,2319.51
11/2/2021,Tuesday,69467.5,82528,3959.833333,2062.674583,5.09375,5.062916667,5.230833333,69.59916667,70.56916667,41.66666667,49.125,38,61.69666667,61.25208333,61.53208333,62.47,72.54708333,2185.88
11/3/2021,Wednesday,71029.58333,85820.375,2808.791667,648.4916667,5.41125,5.35,5.436666667,75.06208333,77.91166667,38.54166667,44.875,35.83333333,63.48125,81.75083333,78.33875,80.89708333,103.1241667,2003.28
11/4/2021,Thursday,70776.66667,87227.29167,6639.5,567.3979167,5.4875,5.438333333,5.55125,84.135,91.10416667,38.04166667,44.70833333,37.29166667,59.97708333,110.5779167,94.20125,81.65083333,107.2120833,1975.41
11/5/2021,Friday,69557.91667,88805.29167,16630.83333,2330.885833,5.290416667,5.122083333,5.4975,86.64208333,97.98291667,38.04166667,43.04166667,40.5,12.425,86.36125,61.58,54.48833333,87.67833333,1665.23
11/6/2021,Saturday,64825.41667,80585.45833,10785.79167,3018.830833,5.13,4.840833333,5.35125,73.55125,74.43666667,40.58333333,45.5,44.83333333,33.38041667,39.4675,53.59541667,38.1625,64.17333333,1519.83
11/7/2021,Sunday,62021.25,76984.83333,12207.08333,3603.697917,4.960833333,4.84,5.198333333,56.61958333,56.18875,44.54166667,49.08333333,51.33333333,49.17125,47.94,48.80625,32.48166667,60.92166667,1660.46
11/8/2021,Monday,67765.83333,83878.79167,9240.875,4157.21125,4.76875,4.750416667,5.133333333,66.6625,66.94708333,50.41666667,52.04166667,54.70833333,29.67083333,44.28541667,47.10333333,37.00375,52.28291667,1273.34
11/9/2021,Tuesday,67569.58333,81362.83333,5965.791667,1653.082917,4.397916667,4.42,4.9,62.3225,58.18416667,53.58333333,54.70833333,51.91666667,39.795,64.85666667,55.705,60.59833333,62.75958333,2266.75
11/10/2021,Wednesday,68091.25,80060.95833,11961.16667,3320.445833,3.932916667,3.972916667,4.5525,59.48583333,64.03916667,53.41666667,57.125,48.83333333,32.89208333,44.31375,43.24583333,42.74875,47.83666667,1976.68
11/11/2021,Thursday,68705.41667,80751.79167,20245.08333,7313.075417,3.845,3.884166667,4.592083333,53.60833333,54.045,55.83333333,56.375,50.5,36.34041667,25.28666667,29.99666667,30.03541667,47.02708333,1853.5
11/12/2021,Friday,69549.58333,79817.16667,19503.66667,6063.600833,4.053333333,4.24,4.73,52.71791667,54.24916667,47.95833333,61.20833333,39.125,33.04875,53.14875,45.3425,49.29208333,68.38666667,2083.31
11/13/2021,Saturday,67842.91667,80124.5,10810.25,4838.092083,4.229583333,4.499583333,4.73,60.84041667,60.22,38.20833333,47.58333333,37.375,37.18791667,50.1775,50.48208333,37.52833333,57.32,1628.01
11/14/2021,Sunday,67505.83333,82843.16667,11033.70833,6196.937083,4.40625,4.5,4.72,66.57375,64.21541667,36.66666667,42.41666667,35.16666667,47.37708333,35.07791667,45.75333333,18.85833333,53.58625,1529.79
11/15/2021,Monday,73367.91667,90886.58333,6739.166667,3348.376667,4.515,4.506666667,4.635416667,67.78125,67.995,36.66666667,43.66666667,32.83333333,34.41625,62.20375,60.3425,52.53791667,60.55666667,1387.65
11/16/2021,Tuesday,71933.75,89551.625,15505.625,3605.4125,4.5975,4.6025,4.74375,62.75208333,64.96375,41.29166667,43.375,40.04166667,36.285,62.00166667,50.27125,40.47916667,55.74083333,2305.29
